Place_ID,Operator,Bussiness_Status,Location_Name,Address,Latitude,Longitude,Usage,Number_of_Connectors,Min_Power_kW,Max_Power_kW,Max_Charging_Type,Rapid_Charge_Available,Fast_Charge_Available,Slow_Charge_Available
157861,Unknown,Unknown,4002063,"Level B – Fulham Broadway Car Park, Fulham Road, London, SW6 1BW",51.480316,-0.194363,Public,1,22.0,22.0,Fast,No,Yes,No
77351,Total Energies (UK),Operational,Farm Lane,"10 Farm Lane, LONDON, SW6 1PS",51.4813106555,-0.197749363459,Public - Membership Required,2,4.0,7.0,Fast,No,Yes,Yes
252197,SureCharge (FM Conway) (UK),Unknown,Knivet Road,"Knivet Road, Hammersmith, SW6 1JH",51.48264,-0.19847,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252184,SureCharge (FM Conway) (UK),Unknown,Eustace Road,"Eustace Road, Hammersmith, SW6 1JB",51.48224,-0.19926,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252205,SureCharge (FM Conway) (UK),Unknown,Knivet Road,"Knivet Road, Hammersmith, SW6 1JH",51.48306,-0.19883,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252185,SureCharge (FM Conway) (UK),Unknown,Walham Grove,"Walham Grove, Hammersmith, SW6 1QR",51.4823,-0.197637,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252190,SureCharge (FM Conway) (UK),Unknown,Walham Road,"Walham Road, Hammersmith, SW6 2DH",51.482498,-0.197484,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252195,SureCharge (FM Conway) (UK),Unknown,Walham Road,"Walham Road, Hammersmith, SW6 2DH",51.482578,-0.196887,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252210,SureCharge (FM Conway) (UK),Unknown,Farm Lane,"Farm Lane, Hammersmith, SW6 1QJ",51.483196,-0.196716,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
157863,Unknown,Unknown,4002056,"Level A – Fulham Broadway Car Park, Fulham Road, London, SW6 1BW",51.480804,-0.194908,Public,1,22.0,22.0,Fast,No,Yes,No
200400,SureCharge (FM Conway) (UK),Unknown,Seagrave Road,"Seagrave Road, Hammersmith, SW61ST",51.483263,-0.194095,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252136,Total Energies (UK),Unknown,Waterford Road,"Waterford Road, H&F, SW6 1DL",51.480029,-0.19335,Public - Membership Required,2,3.0,7.0,Fast,No,Yes,Yes
136107,Shell Recharge Solutions (UK),Unknown,Earls Ct Square 53,"Earls Ct Square 53, London, SW5 9DG",51.489947,-0.193212,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
136081,Shell Recharge Solutions (UK),Unknown,Coleherne Rd 8,"Coleherne Rd 8, London, SW10 9BP",51.488692,-0.191066,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
252532,Shell Recharge Solutions (UK),Unknown,outside no. 65,"outside no. 65, London, SW5 9DG",51.489321,-0.192946,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
252493,Shell Recharge Solutions (UK),Unknown,outside no. 21,"outside no. 21, London, SW5 9LA",51.488636,-0.19477,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
252523,Shell Recharge Solutions (UK),Unknown,outside no. 65,"outside no. 65, London, SW5 9JZ",51.489191,-0.195506,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
252363,SureCharge (FM Conway) (UK),Unknown,Ongar Road,"Ongar Road, Hammersmith, SW6 1RL",51.486122,-0.198053,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252394,SureCharge (FM Conway) (UK),Unknown,Seagrave Road,"Seagrave Road, Hammersmith, SW61RR",51.486558,-0.196806,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
187691,Shell Recharge Solutions (UK),Unknown,7 Eardley Cres,"7 Eardley Cres, London, SW5 9JS",51.488053,-0.195483,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
101382,Total Energies (UK),Operational,Seagrave Road,"35 Seagrave Road, London, SW6 1SA",51.485608,-0.195952,Public - Membership Required,2,4.0,7.0,Fast,No,Yes,Yes
252311,SureCharge (FM Conway) (UK),Unknown,Seagrave Road,"Seagrave Road, Hammersmith, SW61UE",51.485162,-0.195533,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252267,SureCharge (FM Conway) (UK),Unknown,Seagrave Road,"Seagrave Road, Hammersmith, SW61SR",51.484305,-0.195187,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252262,Total Energies (UK),Unknown,Seagrave Road - Site 2,"Seagrave Road - Site 2, H&F, SW6 1SR",51.484226,-0.19497,Public - Membership Required,2,3.0,7.0,Fast,No,Yes,Yes
200402,SureCharge (FM Conway) (UK),Unknown,Seagrave Road,"Seagrave Road, Hammersmith, SW61ST",51.483806,-0.194628,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252224,SureCharge (FM Conway) (UK),Unknown,Micklethawite Road,"Micklethawite Road, Hammersmith, SW6 1QE",51.48352,-0.19565,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252249,SureCharge (FM Conway) (UK),Unknown,Micklethwaite Road,"Micklethwaite Road, Hammersmith, SW6 1QE",51.484007,-0.196229,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252238,SureCharge (FM Conway) (UK),Unknown,Farm Lane,"Farm Lane, Hammersmith, SW6 1JZ",51.483791,-0.197232,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252260,SureCharge (FM Conway) (UK),Unknown,Tamworth Street,"Tamworth Street, Hammersmith, SW6 1LE",51.484207,-0.197717,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252273,SureCharge (FM Conway) (UK),Unknown,Tamworth Street,"Tamworth Street, Hammersmith, SW6 1LJ",51.484436,-0.198118,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252264,Believ,Unknown,Halford Road,"Halford Road, Fulham, SW6 1JY",51.484246,-0.197095,Public - Pay At Location,2,22.0,22.0,Fast,No,Yes,No
252336,SureCharge (FM Conway) (UK),Unknown,Ongar Road,"Ongar Road, Hammersmith, SW6 1RL",51.48563,-0.19758,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252344,SureCharge (FM Conway) (UK),Unknown,Ongar Road,"Ongar Road, Hammersmith, SW6 1RJ",51.485828,-0.19769,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252334,SureCharge (FM Conway) (UK),Unknown,Sedlescombe Road,"Sedlescombe Road, Hammersmith, SW61RJ",51.48558,-0.197997,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252286,SureCharge (FM Conway) (UK),Unknown,Racton Road,"Racton Road, Hammersmith, SW6 1LG",51.484765,-0.19807,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252313,SureCharge (FM Conway) (UK),Unknown,Sedlescombe Road,"Sedlescombe Road, Hammersmith, SW6 1LF",51.485191,-0.198685,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252326,Shell Recharge Solutions (UK),Unknown,112 Tamworth Street,"112 Tamworth Street, London, SW6 1LE",51.485357,-0.198248,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
252319,SureCharge (FM Conway) (UK),Unknown,Sedlescombe Road,"Sedlescombe Road, Hammersmith, SW61RB",51.485282,-0.198961,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252306,SureCharge (FM Conway) (UK),Unknown,Sedlescombe Road,"Sedlescombe Road, Hammersmith, SW61RE",51.485051,-0.199561,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252281,SureCharge (FM Conway) (UK),Unknown,Racton Road,"Racton Road, Hammersmith, SW6 1LP",51.484657,-0.198999,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
134945,Shell Recharge Solutions (UK),Unknown,Asset No. LC 6,"Asset No. LC 6, London, SW6 1JX",51.483719,-0.198331,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
252217,Shell Recharge Solutions (UK),Unknown,Shell Recharge/Ubitricity,"null, London, SW6 1JH",51.483352,-0.199258,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
252214,Shell Recharge Solutions (UK),Unknown,18 Halford Road,"18 Halford Road, London, SW6 1JT",51.483267,-0.199625,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
252196,SureCharge (FM Conway) (UK),Unknown,Armadale Road,"Armadale Road, Hammersmith, SW6 1NS",51.48263,-0.19968,Public - Membership Required,1,4.8,4.8,Slow,No,No,Yes
252181,SureCharge (FM Conway) (UK),Unknown,North End Road,"North End Road, Hammersmith, SW6 1NY",51.482155,-0.199932,Public - Membership Required,1,7.0,7.0,Fast,No,Yes,No
264619,Shell Recharge Solutions (UK),Unknown,opposite 32 Bramham Gardens/Bolton Gardens,"opposite 32 Bramham Gardens/Bolton Gardens, London, SW5 0AQ",51.490954,-0.190554,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
268034,Total Energies (UK),Unknown,Courtfield Gardens,"25 Courtfield Gardens, Kensington and Chelsea, SW5 0PH",51.4932,-0.19015,Public,1,22.0,22.0,Fast,No,Yes,No
252721,Shell Recharge Solutions (UK),Unknown,12C,"12C, London, SW5 0EN",51.492522,-0.190633,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
